source,target,relation,source_type,target_type
Increased flooding,Soil erosion,WORSENS,Climate Effect,Outcome
Nitrous Oxide (N2O),Soil salinization,CAUSES,Emission,Climate Effect
Methane (CH4),Extreme weather events,CAUSES,Emission,Climate Effect
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Soil salinization,Soil erosion,WORSENS,Climate Effect,Outcome
Extreme weather events,Crop yield,DECREASES,Climate Effect,Outcome
Organic farming,Soil erosion,REDUCES,Practice,Outcome
Altered precipitation patterns,Sorghum,REDUCES,Climate Effect,Crop
Ocean acidification,Soil erosion,WORSENS,Climate Effect,Outcome
Agroforestry,Crop yield,AFFECTS,Practice,Outcome
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Reduced chill hours,Crop yield,DECREASES,Climate Effect,Outcome
No-tillage farming,Carbon Dioxide (CO2),REDUCES,Practice,Emission
Rising temperatures,Sorghum,REDUCES,Climate Effect,Crop
Extreme weather events,Soil erosion,WORSENS,Climate Effect,Outcome
Crop rotation,Genetic modification (GM),IMPROVES,Practice,Climate Mitigation
Rising temperatures,Cassava,REDUCES,Climate Effect,Crop
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Sea level rise,Water scarcity,INCREASES,Climate Effect,Outcome
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Drip irrigation,River systems,CONSERVES,Practice,Resource
Sugarcane,Loam,REQUIRES,Crop,Soil
Apples,Clay soil,REQUIRES,Crop,Soil
Soybeans,Freshwater aquifers,REQUIRES,Crop,Resource
Cover cropping,Carbon Dioxide (CO2),INCREASES,Practice,Emission
Flood irrigation,Soil health,IMPROVES,Practice,Outcome
Flood irrigation,Genetic modification (GM),IMPROVES,Practice,Climate Mitigation
Organic farming,Crop yield,AFFECTS,Practice,Outcome
Nitrogen Fertilizers,Nitrous Oxide (N2O),RELEASES,Specific Entity,Emission
Reduced chill hours,Food security,THREATENS,Climate Effect,Outcome
Methane (CH4),Sea level rise,CAUSES,Emission,Climate Effect
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
CO2 Levels,Ocean acidification,CAUSES,Specific Entity,Climate Effect
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Rising temperatures,Soybeans,REDUCES,Climate Effect,Crop
Sorghum,Loam,REQUIRES,Crop,Soil
No-tillage farming,Carbon Dioxide (CO2),INCREASES,Practice,Emission
Altered precipitation patterns,Loam,AFFECTS,Climate Effect,Soil
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Drought,Food security,THREATENS,Climate Effect,Outcome
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Crop rotation,Nitrous Oxide (N2O),REDUCES,Practice,Emission
Reduced chill hours,Soil erosion,WORSENS,Climate Effect,Outcome
Integrated pest management (IPM),Greenhouse Gases (GHG),REDUCES,Practice,Emission
Soil salinization,Soil erosion,WORSENS,Climate Effect,Outcome
Drip irrigation,Arable land,CONSERVES,Practice,Resource
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Heatwaves,Sandy soil,AFFECTS,Climate Effect,Soil
CO2 Levels,Ocean acidification,CAUSES,Specific Entity,Climate Effect
Greenhouse Gases (GHG),Heatwaves,CAUSES,Emission,Climate Effect
Heatwaves,Pest outbreaks,INCREASES,Climate Effect,Outcome
Ocean acidification,Food security,THREATENS,Climate Effect,Outcome
Rising temperatures,Water scarcity,INCREASES,Climate Effect,Outcome
Organic farming,Nitrous Oxide (N2O),REDUCES,Practice,Emission
Rising temperatures,Wheat,REDUCES,Climate Effect,Crop
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Rising temperatures,Water scarcity,INCREASES,Climate Effect,Outcome
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Potatoes,Silty soil,REQUIRES,Crop,Soil
Drip irrigation,Arable land,CONSERVES,Practice,Resource
CO2 Levels,Ocean acidification,CAUSES,Specific Entity,Climate Effect
Flood irrigation,Soil health,IMPROVES,Practice,Outcome
Extreme weather events,Water scarcity,INCREASES,Climate Effect,Outcome
Flood irrigation,Greenhouse Gases (GHG),REDUCES,Practice,Emission
Agroforestry,Biofuel production,IMPROVES,Practice,Climate Mitigation
Rising temperatures,Coffee,REDUCES,Climate Effect,Crop
Increased flooding,Crop yield,DECREASES,Climate Effect,Outcome
Nitrous Oxide (N2O),Reduced chill hours,CAUSES,Emission,Climate Effect
Integrated pest management (IPM),Methane (CH4),REDUCES,Practice,Emission
Altered precipitation patterns,Crop yield,DECREASES,Climate Effect,Outcome
Reduced chill hours,Soil erosion,WORSENS,Climate Effect,Outcome
Drought,Crop yield,DECREASES,Climate Effect,Outcome
Cover cropping,Crop yield,AFFECTS,Practice,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Rising temperatures,Loam,AFFECTS,Climate Effect,Soil
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Reduced chill hours,Crop yield,DECREASES,Climate Effect,Outcome
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Crop rotation,Soil erosion,REDUCES,Practice,Outcome
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Crop rotation,Soil erosion,REDUCES,Practice,Outcome
Wheat,Chalky soil,REQUIRES,Crop,Soil
No-tillage farming,Biofuel production,IMPROVES,Practice,Climate Mitigation
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Terracing,Crop yield,AFFECTS,Practice,Outcome
Ocean acidification,Crop yield,DECREASES,Climate Effect,Outcome
Rising temperatures,Food security,THREATENS,Climate Effect,Outcome
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Integrated pest management (IPM),Crop yield,AFFECTS,Practice,Outcome
Increased flooding,Pest outbreaks,INCREASES,Climate Effect,Outcome
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Extreme weather events,Soil erosion,WORSENS,Climate Effect,Outcome
Cover cropping,Carbon Dioxide (CO2),REDUCES,Practice,Emission
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Drought,Pest outbreaks,INCREASES,Climate Effect,Outcome
Organic farming,Methane (CH4),INCREASES,Practice,Emission
Nitrous Oxide (N2O),Rising temperatures,CAUSES,Emission,Climate Effect
Crop rotation,Soil health,IMPROVES,Practice,Outcome
Methane (CH4),Altered precipitation patterns,CAUSES,Emission,Climate Effect
Rising temperatures,Coffee,REDUCES,Climate Effect,Crop
Cassava,Loam,REQUIRES,Crop,Soil
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Flood irrigation,Genetic modification (GM),IMPROVES,Practice,Climate Mitigation
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Ocean acidification,Soil erosion,WORSENS,Climate Effect,Outcome
Rising temperatures,Potatoes,REDUCES,Climate Effect,Crop
Reduced chill hours,Cotton,REDUCES,Climate Effect,Crop
Heatwaves,Crop yield,DECREASES,Climate Effect,Outcome
Integrated pest management (IPM),Soil health,IMPROVES,Practice,Outcome
Drought,Food security,THREATENS,Climate Effect,Outcome
Altered precipitation patterns,Potatoes,REDUCES,Climate Effect,Crop
Cover cropping,Methane (CH4),INCREASES,Practice,Emission
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Ocean acidification,Water scarcity,INCREASES,Climate Effect,Outcome
CO2 Levels,Ocean acidification,CAUSES,Specific Entity,Climate Effect
Crop rotation,Crop yield,AFFECTS,Practice,Outcome
Agroforestry,Carbon sequestration,IMPROVES,Practice,Climate Mitigation
Greenhouse Gases (GHG),Heatwaves,CAUSES,Emission,Climate Effect
Extreme weather events,Crop yield,DECREASES,Climate Effect,Outcome
Reduced chill hours,Sandy soil,AFFECTS,Climate Effect,Soil
Increased flooding,Sandy soil,AFFECTS,Climate Effect,Soil
No-tillage farming,Soil health,IMPROVES,Practice,Outcome
Altered precipitation patterns,Water scarcity,INCREASES,Climate Effect,Outcome
Rising temperatures,Maize (Corn),REDUCES,Climate Effect,Crop
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Nitrous Oxide (N2O),Sea level rise,CAUSES,Emission,Climate Effect
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
